"Municipio","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"Adolfo Alsina",17222,17249,17276,17303,17330,17356,17382,17407,17433,17458,17483,17507
"Adolfo Gonzales Chaves",12168,12142,12116,12091,12065,12040,12016,11992,11968,11944,11922,11899
"Alberti",10746,10773,10799,10824,10850,10875,10900,10924,10948,10972,10995,11018
"Almirante Brown",557025,561349,565509,569911,574263,578513,582541,586564,590418,594270,597969,601618
"Arrecifes",29252,29473,29690,29905,30117,30326,30532,30735,30936,31133,31328,31520
"Avellaneda",345752,346847,347924,348999,350080,351165,352246,353273,354314,355352,356392,357440
"Ayacucho",20505,20588,20671,20752,20832,20911,20990,21067,21143,21218,21291,21364
"Azul",65836,66029,66221,66411,66598,66782,66965,67144,67321,67495,67667,67835
"Bahía Blanca",304206,304829,305445,306056,306657,307250,307836,308413,308982,309544,310095,310639
"Balcarce",44190,44349,44506,44662,44816,44966,45116,45262,45408,45551,45691,45829
"Baradero",32969,33325,33677,34027,34371,34710,35045,35375,35701,36022,36338,36649
"Benito Juárez",20429,20440,20450,20461,20472,20482,20493,20503,20513,20523,20532,20542
"Berazategui",326109,330277,334458,338647,342682,346658,350578,354447,358262,362021,365771,369294
"Berisso",89070,89877,90675,91466,92246,93015,93773,94522,95259,95987,96701,97406
"Bolívar",34468,34626,34783,34939,35092,35244,35393,35540,35684,35828,35969,36108
"Bragado",41710,41756,41801,41846,41891,41935,41978,42020,42062,42103,42144,42184
"Brandsen",26480,26960,27436,27906,28371,28828,29279,29725,30164,30597,31023,31442
"Campana",95041,96152,97252,98340,99415,100474,101518,102549,103565,104566,105552,106522
"Cañuelas",52059,53205,54342,55468,56579,57673,58752,59817,60867,61903,62921,63923
"Capitán Sarmiento",14576,14767,14957,15144,15329,15512,15692,15869,16044,16216,16387,16553
"Carlos Casares",22407,22544,22680,22815,22947,23078,23206,23334,23459,23583,23704,23824
"Carlos Tejedor",11680,11679,11678,11677,11676,11675,11674,11673,11672,11671,11671,11669
"Carmen De Areco",14809,14888,14967,15044,15121,15197,15271,15345,15418,15489,15560,15629
"Castelli",8270,8312,8354,8396,8437,8478,8517,8556,8595,8633,8671,8708
"Chacabuco",49052,49431,49806,50179,50546,50907,51263,51615,51962,52304,52640,52971
"Chascomús",36874,37250,37622,37991,38356,38714,39068,39417,39760,40100,40434,40762
"Chivilcoy",64671,65066,65458,65845,66228,66605,66976,67343,67705,68062,68412,68758
"Colón",25063,25276,25487,25695,25901,26105,26305,26503,26697,26889,27078,27264
"Coronel De Marina L. Rosales",62712,62796,62880,62962,63044,63124,63203,63281,63358,63433,63508,63581
"Coronel Dorrego",15998,15911,15829,15747,15668,15589,15511,15435,15359,15285,15212,15141
"Coronel Pringles",23179,23068,22965,22861,22760,22659,22561,22463,22368,22273,22180,22089
"Coronel Suárez",38628,38812,38988,39163,39336,39506,39673,39838,40001,40162,40320,40474
"Daireaux",17013,17138,17263,17387,17508,17629,17747,17863,17979,18093,18204,18314
"Dolores",27251,27406,27559,27711,27860,28007,28152,28296,28438,28576,28714,28849
"Ensenada",57123,57615,58103,58585,59062,59532,59995,60452,60903,61346,61783,62214
"Escobar",215256,218766,223018,227205,231337,235408,239461,243456,247385,251245,255073,258805
"Esteban Echeverría",300785,308861,316567,323806,331031,337890,344795,351564,358342,364641,370900,377237
"Exaltación De La Cruz",29888,30591,31288,31978,32659,33330,33991,34643,35287,35922,36545,37161
"Ezeiza",163287,169284,175333,181122,186842,192430,197895,203292,208615,213864,219031,224228
"Florencio Varela",426738,436751,446287,455672,464939,473950,482757,491652,500225,508671,517082,525270
"Florentino Ameghino",8932,9007,9082,9155,9228,9300,9371,9441,9510,9578,9645,9711
"General Alvarado",39837,40293,40744,41191,41632,42066,42494,42917,43334,43744,44149,44546
"General Alvear",11234,11260,11286,11311,11336,11361,11385,11410,11433,11456,11480,11503
"General Arenales",15042,15044,15047,15048,15050,15052,15054,15056,15058,15059,15061,15062
"General Belgrano",17474,17665,17856,18045,18230,18414,18594,18773,18949,19123,19293,19461
"General Guido",2841,2847,2852,2857,2862,2867,2872,2877,2882,2887,2892,2897
"General Juan Madariaga",19880,20062,20241,20419,20594,20767,20938,21106,21273,21436,21596,21755
"General La Madrid",10892,10866,10839,10814,10788,10763,10738,10713,10689,10665,10642,10619
"General Las Heras",14955,15215,15472,15727,15978,16226,16469,16710,16948,17182,17412,17639
"General Lavalle",3713,3792,3870,3947,4023,4099,4172,4246,4318,4389,4459,4528
"General Paz",11294,11343,11392,11441,11489,11536,11583,11629,11674,11719,11763,11806
"General Pinto",11363,11379,11394,11409,11423,11438,11452,11467,11481,11494,11508,11521
"General Pueyrredon",624388,627723,631064,634372,637637,640855,644055,647215,650332,653406,656456,659462
"General Rodríguez",87339,89700,92041,94357,96643,98895,101116,103308,105469,107599,109695,111759
"General San Martín",418017,418790,419531,420271,421009,421725,422440,423153,423877,424567,425265,425911
"General Viamonte",18232,18288,18343,18397,18451,18505,18556,18608,18659,18709,18758,18807
"General Villegas",31092,31324,31555,31784,32009,32232,32451,32667,32880,33090,33297,33501
"Guaminí",11918,11988,12058,12127,12195,12263,12329,12394,12458,12522,12584,12646
"Hipólito Yrigoyen",9657,9722,9784,9847,9909,9970,10029,10089,10148,10205,10262,10318
"Hurlingham",182604,183764,184914,186052,187174,188280,189371,190447,191508,192554,193583,194597
"Ituzaingó",169038,170292,171536,172766,173981,175177,176356,177521,178670,179801,180914,182011
"José C. Paz",267275,271557,275801,279999,284145,288228,292304,296279,300035,303896,307443,311187
"Junín",91192,92712,92811,92911,93013,93115,93168,93221,93274,93329,93384,93440
"La Costa",70033,70933,71826,72708,73580,74439,75285,76121,76945,77756,78554,79341
"La Matanza",1777530,1830526,1883251,1935394,1986784,2037428,2087359,2136695,2185597,2233860,2281194,2327874
"La Plata",659575,664746,670477,676195,681831,687378,692779,698164,703504,708733,713947,719013
"Lanús",463555,463478,463401,463325,463251,463178,463106,463034,462964,462895,462827,462760
"Laprida",10287,10353,10417,10481,10544,10606,10668,10728,10788,10847,10905,10962
"Las Flores",24087,24127,24157,24186,24215,24244,24272,24300,24328,24355,24382,24410
"Leandro N. Alem",16942,16995,17047,17099,17150,17200,17250,17300,17348,17396,17442,17489
"Lezama (**)",5674,5742,5810,5877,5943,6008,6072,6135,6198,6259,6320,6379
"Lincoln",42204,42216,42227,42238,42248,42259,42270,42281,42291,42302,42312,42323
"Lobería",17671,17736,17799,17863,17925,17986,18047,18107,18166,18224,18281,18338
"Lobos",36404,36765,37132,37496,37854,38208,38557,38900,39239,39573,39901,40225
"Lomas De Zamora",621440,624289,627150,630029,632842,635593,638287,640916,643437,645880,648312,650678
"Luján",106886,108250,109603,110942,112263,113564,114848,116114,117364,118593,119805,120998
"Magdalena",18924,19121,19315,19508,19697,19883,20041,20195,20346,20493,20613,20729
"Maipú",10255,10263,10275,10288,10301,10314,10328,10343,10357,10372,10388,10402
"Malvinas Argentinas",324358,328087,331834,335491,339152,342798,346406,349867,353281,356643,359953,363263
"Mar Chiquita",21361,21782,22199,22612,23019,23420,23816,24206,24591,24971,25344,25712
"Marcos Paz",54337,55618,56887,58145,59385,60607,61811,63001,64174,65329,66466,67586
"Mercedes",63759,64184,64607,65025,65437,65844,66245,66640,67030,67415,67793,68165
"Merlo",531609,539009,546383,554007,561566,569165,576737,584267,591763,599119,606413,613509
"Monte",21111,21357,21638,21915,22207,22482,22832,23127,23396,23699,23896,24198
"Monte Hermoso",6534,6630,6718,6807,6895,6980,7064,7147,7230,7310,7390,7468
"Moreno",454416,463151,472015,481041,489912,498713,507403,516093,524675,533292,541691,549930
"Morón",324279,323680,323076,322489,321920,321351,320781,320218,319674,319138,318632,318104
"Navarro",17184,17293,17399,17505,17609,17712,17815,17914,18013,18110,18206,18301
"Necochea",93730,93970,94207,94442,94673,94902,95126,95348,95568,95783,95995,96204
"9 De Julio",48150,48217,48283,48347,48413,48475,48539,48601,48661,48721,48780,48838
"Olavarría",112534,113339,114137,114926,115706,116473,117230,117977,118715,119441,120154,120858
"Patagones",30446,30610,30773,30935,31094,31250,31405,31557,31708,31856,32002,32146
"Pehuajó",40109,40249,40389,40527,40664,40798,40930,41060,41189,41316,41441,41564
"Pellegrini",5913,5929,5960,5972,5983,5995,6007,6020,6032,6045,6058,6072
"Pergamino",105420,105906,106387,106863,107332,107794,108251,108700,109145,109582,110012,110435
"Pila",3665,3697,3728,3760,3791,3821,3851,3880,3909,3937,3966,3994
"Pilar",299549,307852,316084,324228,332268,340189,347998,355707,363309,370798,378167,385426
"Pinamar",25798,26410,27015,27614,28206,28789,29364,29931,30491,31042,31584,32119
"Presidente Perón",81166,83780,86372,88936,91467,93960,96420,98847,101239,103597,105918,108203
