word,mean_likeness,std_likeness
población,1.8,0.4472
obra,2.2,0.4472
dormir,3,0
dar,2.8,0.4472
realizar,2.6,0.5477
haber,2,0
amor,3,0
aparecer,2,0
seguir,2.4,0.5477
especie,2.2,0.4472
dejar,1.6,0.5477
nombre,2.1667,0.4082
solo,1.4,0.5477
corazón,2.8,0.4472
lograr,3,0
entender,3,0
acercar,2.2,0.4472
grande,2,0
ojo,2.2,0.4472
bueno,3,0
trabajar,2.6,0.5477
permitir,2.8,0.4472
junto,2.6,0.5477
hablar,2.2,0.4472
hacer,2.4,0.5477
tiempo,2,0.7071
nuevo,2.8,0.4472
mirada,2.4,0.5477
entrar,2.2,0.4472
cuerpo,2,0
tipo,1.8,0.4472
cosa,2,0
volver,1.6,0.5477
propio,2.4,0.5477
más,2.8,0.4472
llamar,2.2,0.4472
canción,3,0
alcanzar,3,0
pensar,2.8,0.4472
agua,2.6,0.5477
aire,2.6,0.5477
jugar,3,0
voz,2.4,0.5477
poder,2.8,0.4472
sentar,2.4,0.5477
mar,2.8,0.4472
mirar,2.4,0.5477
río,2.6,0.5477
dolor,1,0
caso,2,0
mantener,1.8,0.4472
historia,2.4,0.5477
región,2,0
abrir,2.4,0.5477
último,1.6,0.5477
hermano,2.6,0.5477
lugar,2,0
junto,2.4,0.5477
presentar,2.4,0.5477
producir,2.4,0.5477
estar,2.8,0.4472
venir,2.4,0.5477
palabra,2,0
habitante,2.5,0.5477
fin,2,0
sólo,2,0.7071
alma,2.5,0.5477
rey,1.8333,0.4082
mundo,2.4,0.5477
ser,2.4,0.5477
número,2.1667,0.4082
considerar,2.3333,0.5164
querer,3,0
recordar,2.3333,0.5164
amar,3,0
creer,2.6,0.5477
pedir,1.5,0.5477
caer,1.5,0.5477
siguiente,2.1667,0.4082
trabajo,2.3333,0.5164
nacional,2.4,0.5477
convertir,1.8,0.4472
tener,2.6,0.5477
lado,2,0
punto,2,0
esperar,1.2,0.4472
amigo,3,0
manera,2,0
total,2,0
poder,2.4,0.5477
ubicar,1.8,0.4472
crear,3,0
calle,2,0
terminar,2.2,0.4472
forma,2.2,0.4472
sistema,2.2,0.4472
año,2,0
existir,2.6,0.5477
hijo,2.6,0.5477
partir,2,0
comenzar,2.6,0.5477
luz,2.6,0.5477
buscar,2.2,0.4472
paso,2,0
vida,2.8,0.4472
país,2.2,0.4472
encontrar,2.6,0.5477
decidir,2.2,0.4472
parte,2,0
noche,2.6,0.5477
llevar,2,0
poner,2.4,0.5477
hora,2,0
incluir,2.2,0.4472
decir,2.2,0.4472
escuchar,2.4,0.5477
perder,1,0
grupo,2.6,0.5477
libro,2.6,0.5477
fuerza,2.4,0.5477
familia,3,0
llegar,2.4,0.5477
cielo,2.8,0.4472
zona,2,0
verdad,2.8,0.4472
persona,2.4,0.5477
norte,2.2,0.4472
hombre,2.4,0.5477
cuenta,2,0
puerta,2,0
dirigir,2,0
momento,2.2,0.4472
muerte,1.2,0.4472
municipio,2,0
tratar,2.2,0.4472
quedar,2,0
unir,2.4,0.5477
cabeza,2,0
tierra,2.4,0.5477
mismo,2,0
centro,2.4,0.5477
aun,2,0
casa,2.8,0.4472
gente,2.4,0.5477
principal,2.8,0.4472
tan,2,0
mejor,2.8,0.4472
preguntar,2.2,0.8367
saber,2.8,0.4472
formar,2.4,0.5477
único,2.4,0.5477
vez,2,0
camino,2.6,0.5477
recuerdo,2.2,0.8367
mujer,2.6,0.5477
conocer,2.8,0.4472
parecer,2.4,0.5477
olvidar,2,0.7071
metro,2.1667,0.4082
importante,2.3333,0.8165
universidad,2.7143,0.488
siglo,2,0
color,2.4,0.5477
pasar,2,0
correr,2.8,0.4472
mano,2.2,0.4472
contar,2.4,0.5477
deber,1.6,0.5477
salir,2.6,0.5477
vivir,2.8,0.4472
estado,1.8,0.4472
ver,2.4,0.5477
pequeño,2.2,0.4472
padre,3,0
gobierno,2,0.6325
condado,2,0
utilizar,2.1667,0.4082
madre,3,0
sentir,2.6,0.5477
tanto,2,0
cambiar,2.3333,0.5164
final,2.4,0.5477
escribir,2.2,0.4472
día,2.4,0.5477
sueño,2.4,0.5477
usar,2,0
empezar,2.4,0.5477
tomar,2,0
pesar,1.6,0.5477
equipo,2.8,0.4472
ciudad,2.4,0.5477
juego,3,0
provincia,2.6,0.5477
gran,2.4,0.5477
general,2.2,0.4472
morir,1.4,0.8944
nacer,2.8,0.4472
niño,2.6,0.8944
mayor,2.3333,0.5164
recibir,2.6667,0.5164
serie,2.3333,0.5164
silencio,2.6667,0.5164
realidad,2.3333,0.5164
real,2.3333,0.5164
proyecto,2.5,0.5477
estudio,2.5,0.5477
tocar,2.3333,0.5164
conseguir,2.3333,0.5164
película,2,1
mes,2.2,0.4472
sol,2.4,0.8944
diferente,2.6,0.5477
ganar,2.6,0.5477
isla,2.8,0.4472
censo,2,0
intentar,2.8,0.4472
mostrar,2.6,0.5477
viejo,2.2,0.4472
humano,2.8,0.4472
caminar,2.8,0.4472
pie,2,0
orden,2.1667,0.7528
gustar,2.8333,0.4082
llorar,1.1667,0.4082
levantar,1.8,0.4472
cara,2.4,0.5477
rostro,2.2,0.4472
señor,1.8,0.4472
música,3,0
raza,1.8,0.4472
idea,2.8,0.4472
viento,2.6,0.5477
iglesia,1.4,0.5477
través,2,0
problema,1.2,0.4472
álbum,2.2,0.4472
desear,2.6,0.5477
boca,2.4,0.5477
mente,2.6,0.5477
imagen,2.4,0.5477
miedo,1,0
época,2,0
acabar,2.2,0.4472
piel,2.6,0.5477
carrera,2.2,0.4472
construir,2.8,0.4472
obtener,2.4,0.5477
brazo,2.2,0.4472
fuerte,2.6,0.5477
demografía,2,0
club,2.6667,0.5164
publicar,2.1667,0.4082
resto,2.1667,0.4082
observar,2.3333,0.5164
situar,2,0
temporada,2.3333,0.5164
lanzar,2.3333,0.5164
cerrar,1.6667,0.5164
servicio,2.6,0.5477
beso,3,0
presidente,1.8,0.4472
sentido,2.4,0.5477
sonrisa,3,0
necesitar,2.4,0.5477
razón,2.6,0.5477
miembro,2.4,0.5477
movimiento,2.6,0.5477
regresar,2.4,0.8944
relación,3,0
frente,2,0
escuela,2.8,0.4472
papel,2.4,0.5477
línea,2.2,0.4472
destacar,2.6,0.5477
ejemplo,2.2,0.4472
descubrir,3,0
servir,2,0.7071
arte,3,0
sangre,2,0.7071
estrella,3,0
edad,2,0.7071
derecho,2.2,0.4472
labio,2.4,0.5477
dios,2,0.7071
